"id";"name";"description";"price";"Qty";"image";"subcategory";"category"
37;"Britannia Tiger Choco Cookies";"Britannia Tiger Choco Cookies";"10";1;"Britannia_Tiger_Choco_Cookies.png";"Biscuits";"Food"
38;"Britannia Tiger Krunch Choco Chips";"Britannia Tiger Krunch Choco Chips";"10";1;"Britannia_Tiger_Krunch_Choco_Chips.png";"Biscuits";"Food"
39;"Britannia Toastea Multigrain Rusk";"Britannia Toastea Multigrain Rusk";"35";1;"Britannia_Toastea_Multigrain_Rusk.png";"Bakery";"Food"
40;"Britannia Treat Choco Creme Wafers";"Britannia Treat Choco Creme Wafers";"25";1;"Britannia_Treat_Choco_Creme_Wafers.png";"Dessert";"Food"
41;"Britannia Treat Creme Wafers Vanilla Biscuits";"Britannia Treat Creme Wafers Vanilla Biscuits";"25";1;"Britannia_Treat_Creme_Wafers_Vanilla_Biscuits.png";"Snacks";"Food"
42;"Britannia Treat Jimjam Biscuits";"Britannia Treat Jimjam Biscuits";"10";1;"Britannia_Treat_Jimjam_Biscuits.png";"Cookies";"Food"
43;"Britannia Treat Kool Vanilla Creme Biscuits";"Britannia Treat Kool Vanilla Creme Biscuits";"10";1;"Britannia_Treat_Kool_Vanilla_Creme_Biscuits.png";"Cookies";"Food"
44;"Bru Gold Coffee Powder";"Bru Gold Coffee Powder";"245;120";1;"Bru_Gold_Coffee_Powder.png";"Coffee";"Food"
45;"Bru Green Label Coffee Powder";"Bru Green Label Coffee Powder";"165";1;"Bru_Green_Label_Coffee_Powder.png";"Coffee";"Food"
46;"Bru Instant Coffee Powder";"Bru Instant Coffee Powder";"90;165;320";1;"Bru_Instant_Coffee_Powder.png";"Beverages";"Food"
47;"Bru Select Premium Filter Coffee Powder";"Bru Select Premium Filter Coffee Powder";"250";1;"Bru_Select_Premium_Filter_Coffee_Powder.png";"Coffee";"Food"
48;"Cadbury 5star New Soft Bar Chocolate";"Cadbury 5star New Soft Bar Chocolate";"20";1;"Cadbury_5star_New_Soft_Bar_Chocolate.png";"Candy";"Food"
49;"Cadbury Bourn Vita";"Cadbury Bourn Vita";"199";1;"Cadbury_Bourn_Vita.png";"Health drink";"Food"
50;"Cadbury Bournville Raisin & Nut Chocolate";"Cadbury Bournville Raisin & Nut Chocolate";"90";1;"Cadbury_Bournville_Raisin_Nut_Chocolate.png";"Confectionery";"Food"
51;"Cadbury Bournville Rich Cocoa 50% Dark Chocolate";"Cadbury Bournville Rich Cocoa 50% Dark Chocolate";"45";1;"Cadbury_Bournville_Rich_Cocoa_50_Dark_Chocolate.png";"Confectionery";"Food"
52;"Cadbury Dairy Milk Roast Almond Chocolate";"Cadbury Dairy Milk Roast Almond Chocolate";"40";1;"Cadbury_Dairy_Milk_Roast_Almond_Chocolate.png";"Confectionery";"Food"
53;"Cadbury Fuse Chocolate Feast Chocolate";"Cadbury Fuse Chocolate Feast Chocolate";"35";1;"Cadbury_Fuse_Feast_Chocolate.png";"Candy";"Food"
54;"Cadbury Oreo Cadbury Dipped Biscuits";"Cadbury Oreo Cadbury Dipped Biscuits";"60";1;"Cadbury_Oreo_Cadbury_Dipped_Biscuits.png";"Snacks";"Food"
55;"Golden Oreo Vanilla Flavored Sandwich Biscuits";"Golden Oreo Vanilla Flavored Sandwich Biscuits";"29";1;"Golden_Oreo_Vanilla_Flavored_Sandwich_Biscuits.png";"Snacks";"Food"
56;"Camlin School Students Geometry Box";"Camlin School Students Geometry Box";"120";1;"Camlin_School_Students_Geometry_Box.png";"Stationery ";"Stationary"
57;"Challenge Active Wash Extra Lime Active Detergent Powder";"Challenge Active Wash Extra Lime Active Detergent Powder";"135";1;"Challenge_Active_Wash_Extra_Lime_Active_Detergent_Powder.png";"Detergent";"Household"
58;"Challenge Extra Wash Detergent Cake";"Challenge Extra Wash Detergent Cake";"5.5";1;"Challenge_Extra_Wash_Detergent_Cake.png";"Detergent";"Household"
59;"Challenge Washing Powder";"Challenge Washing Powder";"50";1;"Challenge_Washing_Powder.png";"Detergent";"Household"
60;"Challenge Whatz Detergent Cake";"Challenge Whatz Detergent Cake";"21;10;16";1;"Challenge_Whatz_Detergent_Cake.png";"Laundry";"Household"
61;"Challenge Whatz Lemon Active Detergent Cake";"Challenge Whatz Lemon Active Detergent Cake";"10";1;"Challenge_Whatz_Lemon_Active_Detergent_Cake.png";"Detergent";"Household"
62;"Challenges Cloth Clean Care Matric Washing Powder";"Challenges Cloth Clean Care Matric Washing Powder";"60";1;"Challenges_Cloth_Clean_Care_Matric_Washing_Powder.png";"Detergent";"Household"
63;"Classmate Longe Size Un Ruled Writing Note";"Classmate Longe Size Un Ruled Writing Note";"50";1;"Classmate_Longe_Size_Un_Ruled_Writing_Note.png";"Notebooks";"Stationary"
64;"Classmate Writing Note";"Classmate Writing Note";"30";1;"Classmate_Writing_Note.png";"Stationary";"Stationary"
65;"Close up Everfresh Toothpaste";"Close up Everfresh Toothpaste";"19";1;"Close_up_Everfresh_Toothpaste.png";"Oral care";"Personal Care"
66;"Close up Fresh Attraction Nature Boost, Cardamonm & Tulsi Toothpaste";"Close up Fresh Attraction Nature Boost, Cardamonm & Tulsi Toothpaste";"50";1;"Close_up_Fresh_Attraction_Nature_Boost_Cardamonm_Tulsi_Toothpaste.png";"Oral";"Personal Care"
67;"Close up Red Hot Toothpaste";"Close up Red Hot Toothpaste";"48";1;"Close_up_Red_Hot_Toothpaste.jpg";"Oral care";"Personal Care"
68;"Coca Cola Crisp Taste Soft Drink - Tin";"Coca Cola Crisp Taste Soft Drink - Tin";"35";1;"Coca_Cola_Crisp_Taste_Soft_Drink_Tin.png";"Beverages";"Food"
69;"Coca Cola Soft Drink - Pet";"Coca Cola Soft Drink - Pet";"90";1;"Coca_Cola_Soft_Drink_Pet.jpg";"Beverages";"Food"
70;"Colgate Active Salt Lemon Toothpaste";"Colgate Active Salt Lemon Toothpaste";"97";1;"Colgate_Active_Salt_Lemon_Toothpaste.jpg";"Oral care";"Personal Care"
71;"Colgate Mouthwash";"Colgate Mouthwash";"25";1;"Colgate_Mouth_Wash.png";"Oral care";"Personal Care"
72;"Colgate Plax Freshmint Splash Mouthwash";"Colgate Plax Freshmint Splash Mouthwash";"49";1;"Colgate_Plax_Freshmint_Splash_Mouthwash.png";"Oral";"Personal Care"
73;"Colgate Sensitive Plus Toothpaste";"Colgate Sensitive Plus Toothpaste";"115";1;"Colgate_Sensitive_Plus_Toothpaste.png";"Oral";"Personal Care"
74;"Dabur Gel Toothpaste";"Dabur Gel Toothpaste";"80";1;"Dabur_Gel_Toothpaste.png";"Oral care";"Personal Care"
75;"Dabur Meshwak Complet Oral Care Toothpaste";"Dabur Meshwak Complet Oral Care Toothpaste";"50";1;"Dabur_Meshwak_Complet_Oral_Care_Toothpaste.png";"Oral care";"Personal Care"
76;"Dabur Red Gel Ayurvedic For Freshness + Effective Oral Care Toothpaste";"Dabur Red Gel Ayurvedic For Freshness + Effective Oral Care Toothpaste";"17";1;"Dabur_Red_Gel_Ayurvedic_For_Freshness_Effective_Oral_Care_Toothpaste.png";"Oral care";"Personal Care"
77;"Dettol Antiseptic Liquid";"Dettol Antiseptic Liquid";"249;25";1;"Dettol_Antiseptic_Liquid.png";"Disinfectant";"Household"
78;"Dettol Instant Hand Sanitizer Orginal";"Dettol Instant Hand Sanitizer Orginal";"89";1;"Dettol_Instant_Hand_Sanitizer_Orginal.png";"Personal care";"Personal Care"
79;"Dettol Re Energize Ph Balaced Handwash Liquid";"Dettol Re Energize Ph Balaced Handwash Liquid";"109";1;"Dettol_Re_Energize_Ph_Balaced_Handwash_Liquid.png";"Hygiene";"Household"
80;"Dettol Sensitive Ph Balanced Handwash Combo of 3";"Dettol Sensitive Ph Balanced Handwash Combo of 3";"122";1;"Dettol_Sensitive_Ph_Balanced_Hand_Wash_Combo_of_3.png";"Personal Care";"Personal Care"
81;"Dettol Squeezy Pack Hand Wash";"Dettol Squeezy Pack Hand Wash";"30";1;"Dettol_Squeezy_Pack_Hand_Wash.png";"Personal Care";"Personal Care"
82;"Doritos Nacho Cheese Flavour Chips";"Doritos Nacho Cheese Flavour Chips";"10";1;"Doritos_Nacho_Cheese_Flavour_Chips.png";"Snacks";"Food"
83;"Double Deer Zeera Samba Rice Kaima Rice";"Double Deer Zeera Samba Rice Kaima Rice";"173";1;"Double_Deer_Zeera_Samba_Rice_Kaima_Rice.png";"Grains";"Food"
84;"Engage Man Perfume Spray M1";"Engage Man Perfume Spray M1";"200";1;"Engage_Man_Perfume_Spary_M1.png";"Toiletries";"Food"
85;"Engage Women Perfume Spray W1";"Engage Women Perfume Spray W1";"200";1;"Engage_Women_Perfume_Spray_W1.png";"Beauty";"Personal Care"
86;"Exo Bacto Scrub";"Exo Bacto Scrub";"15";1;"Exo_Bacto_Scrub.png";"Dishwashing";"Household"
87;"Exo Touch & Shine Combo Of 4 Dishwash Bar";"Exo Touch & Shine Combo Of 4 Dishwash Bar";"72";1;"Exo_Touch_Shine_Combo_Of_4_Dishwashe_Bar.png";"Dishwashing";"Household"
88;"Fair & Lovely Advanced Multi Vitamin Expert Fairness Cream";"Fair & Lovely Advanced Multi Vitamin Expert Fairness Cream";"145";1;"Fair_Lovely_Advanced_Multi_Vitamin_Expert_Fairness_Cream.png";"Cosmetics";"Personal Care"
89;"Fair & Lovely Ayurvedic Care Glowing Fairness Cream";"Fair & Lovely Ayurvedic Care Glowing Fairness Cream";"125";1;"Fair_Lovely_Ayurvedic_Care_Glowing_Fairness_Cream.png";"Cosmetics";"Personal Care"
90;"Fair & Lovely BB Instant Fair Look Make Up Finish Fairness Cream";"Fair & Lovely BB Instant Fair Look Make Up Finish Fairness Cream";"79";1;"Fair_Lovely_BB_Instant_Fair_Look_Make_Up_Finish_Fairness_Cream.png";"Cosmetics";"Personal Care"
91;"Fair & Lovely Fairness Facewash Instant Glow Clean Up Face Wash";"Fair & Lovely Fairness Facewash Instant Glow Clean Up Face Wash";"115";1;"Fair_Lovely_Fairness_Facewash_Instant_Glow_Clean_Up_Face_Wash.png";"Cosmetics";"Personal Care"
92;"Fair & Lovely Instant Glow Cleanup Face Wash";"Fair & Lovely Instant Glow Cleanup Face Wash";"60;20";1;"Fair_Lovely_Instant_Glow_Cleanup_Face_Wash.png";"Skincare";"Personal Care"
93;"Fair & Lovely Men's Instant Fairness Rapid Action Face Wash";"Fair & Lovely Men's Instant Fairness Rapid Action Face Wash";"83";1;"Fair_Lovely_Men_s_Instant_Fairness_Rapid_Action_Face_Wash.png";"Cosmetics";"Personal Care"
94;"Fair & Lovely Men's Instant Oil Clear Magnet Action Face Wash";"Fair & Lovely Men's Instant Oil Clear Magnet Action Face Wash";"83";1;"Fair_Lovely_Men_s_Instant_Oil_Clear_Magnet_Action_Face_Wash.png";"Personal care";"Personal Care"
95;"Fair & Lovely Moisturising Fairness Lotion";"Fair & Lovely Moisturising Fairness Lotion";"50";1;"Fair_Lovely_Moisturising_Fairness_Lotion.png";"Cosmetics";"Personal Care"
96;"Fair & Lovely Sun Protect Multi-Vitamin & SPF 15";"Fair & Lovely Sun Protect Multi-Vitamin & SPF 15";"108;72";1;"Fair_Lovely_Sun_Protect_Multi_Vitamin_SPF_15.png";"Skincare";"Personal Care"
97;"Fair & Lovely Winter Fairness Moisturisation";"Fair & Lovely Winter Fairness Moisturisation";"165";1;"Fair_Lovely_Winter_Fairness_Moisturisation.png";"Beauty";"Personal Care"
98;"Fanta Cool Drink Orange Flavour Pet";"Fanta Cool Drink Orange Flavour Pet";"90";1;"Fanta_Cool_Drink_Orange_Flavour_Pet.png";"Beverages";"Food"
99;"Fanta Cool Drink Orange Flavour Tin";"Fanta Cool Drink Orange Flavour Tin";"35";1;"Fanta_Cool_Drink_Orange_Flavour_Tin.png";"Beverages";"Food"
100;"Fevi Kwik One Drop Instant Adhensive";"Fevi Kwik One Drop Instant Adhensive";"5";1;"Fevi_Kwik_One_Drop_Instant_Adhensive.png";"Adhesives";"Stationary"
101;"Fiama Gel Bar Peach & Avacado Soap";"Fiama Gel Bar Peach & Avacado Soap";"67";1;"Fiama_Gel_Bar_Peach_Avacado_Soap.png";"Soap";"Personal Care"
102;"Flair Inky Ceo Smooth Round Nib Liquid Ink Fountain Pen";"Flair Inky Ceo Smooth Round Nib Liquid Ink Fountain Pen";"50";1;"Flair_Inky_Ceo_Smooth_Round_Nib_Liquid_Ink_Fountain_Pen.png";"Office supplies";"Personal Care"
103;"Fogg Body Spray";"Fogg Body Spray";"185";1;"Fogg_Body_Spray.png";"Personal care";"Personal Care"
104;"Fogg Dynamic Body Spray";"Fogg Dynamic Body Spray";"200";1;"Fogg_Dynamic_Body_Spray.png";"Personal care";"Personal Care"
105;"Garnier Color Naturals 3 Darkest Brown Hair Colour";"Garnier Color Naturals 3 Darkest Brown Hair Colour";"80";1;"Garnier_Color_Naturals_3_Darkest_Brown_Hair_Colour.png";"Beauty";"Personal Care"
106;"Garnier Colour Naturals 6.60 Intense Red Hair Colour";"Garnier Colour Naturals 6.60 Intense Red Hair Colour";"180";1;"Garnier_Colour_Naturals_6_60_Intense_Red_Hair_Colour.png";"Beauty";"Personal Care"
107;"Garnier Colour Naturals Mens 1 Natural Black Hair Colour";"Garnier Colour Naturals Mens 1 Natural Black Hair Colour";"115";1;"Garnier_Colour_Naturals_Mens_1_Natural_Black_Hair_Colour.png";"Beauty";"Personal Care"
108;"Garnier Colour Naturals Womens 1 Natural Black Hair Colours";"Garnier Colour Naturals Womens 1 Natural Black Hair Colours";"180";1;"Garnier_Colour_Naturals_Womens_1_Natural_Black_Hair_Colours.png";"Beauty";"Personal Care"
109;"Garnier Men Power White Face Wash";"Garnier Men Power White Face Wash";"90";1;"Garnier_Men_Power_White_Face_Wash.png";"Skincare";"Personal Care"
110;"Gems Burst Ice Cream";"Gems Burst Ice Cream";"25";1;"Gems_Burst_Ice_Cream.png";"Dairy";"Food"
111;"Gillette Foam Regular Shaving Cream";"Gillette Foam Regular Shaving Cream";"85";1;"Gillette_Foam_Regular_Shaving_Cream.png";"Personal care";"Personal Care"
112;"Gillette Foam Sensitive Shaving Cream";"Gillette Foam Sensitive Shaving Cream";"199";1;"Gillette_Foam_Sensitive_Shaving_Cream.png";"Personal care";"Personal Care"
113;"Gillette Foam Sensitive Shaving Foam";"Gillette Foam Sensitive Shaving Foam";"199";1;"Gillette_Foam_Sensitive_Shaving_Foam.png";"Personal care";"Personal Care"
114;"Gillette Fusion Power Shaver";"Gillette Fusion Power Shaver";"435";1;"Gillette_Fusion_Power_Shaver.png";"Personal Care";"Personal Care"
115;"Gillette Permasharp Stainless Shaving Blades";"Gillette Permasharp Stainless Shaving Blades";"24";1;"Gillette_Permasharp_Stainless_Shaving_Blades.png";"grooming";"Personal Care"
116;"Gillette Pure And Sensitive Shave Gel";"Gillette Pure And Sensitive Shave Gel";"329";1;"Gillette_Pure_And_Sensitive_Shave_Gel.png";"Toiletries";"Food"
117;"Gillette Series Sensitive Skin Shave Gel";"Gillette Series Sensitive Skin Shave Gel";"85";1;"Gillette_Series_Sensitive_Skin_Shave_Gel.png";"Toiletries";"Food"
118;"Gillette Series Ultra Comfort Shave Gel";"Gillette Series Ultra Comfort Shave Gel";"85";1;"Gillette_Series_Ultra_Comfort_Shave_Gel.png";"Personal care";"Personal Care"
119;"Gillette Shave Brush Smoother Shave";"Gillette Shave Brush Smoother Shave";"54";1;"Gillette_Shave_Brush_Smoother_Shave.png";"Personal care";"Personal Care"
120;"Gillette Super Platinum Shave Blade";"Gillette Super Platinum Shave Blade";"55";1;"Gillette_Super_Platinum_Shave_Blade.png";"Shaving";"Personal Care"
121;"Goorej Aer Pocket Bathroom Fragrance";"Goorej Aer Pocket Bathroom Fragrance";"55";1;"Goorej_Aer_Pocket_Bathroom_Fragrance.png";"Air freshener";"Household"
122;"Gokulam Black Dates Seeded";"Gokulam Black Dates Seeded";"90";1;"Gokulam_Black_Dates_Seeded.png";"Dried fruit";"Food"
123;"Gokulam Seedless Dates";"Gokulam Seedless Dates";"40";1;"Gokulam_Seedless_Dates.png";"Dried fruit";"Food"
124;"Gold Winner Vanaspathi";"Gold Winner Vanaspathi";"6";1;"Gold_Winner_Vanaspathi.png";"Cooking oil";"Food"
125;"Gone Mad Gang of 5 Premium Coffee Sticks Gone Mad";"Gone Mad Gang of 5 Premium Coffee Sticks Gone Mad";"50";1;"Gone_Mad_Gang_of_5_Premium_Coffee_Sticks_Gone_Mad.png";"Snacks.";"Food"
126;"Grb Butterscotch Soan Papdi";"Grb Butterscotch Soan Papdi";"65";1;"Grb_Butterscotch_Soan_Papdi.png";"Sweets";"Food"
127;"Grb Chocolate Soan Papdi";"Grb Chocolate Soan Papdi";"65";1;"Grb_Chocolate_Soan_Papdi.png";"Sweets";"Food"
128;"GRB Payasam Mix Payasam Mix";"GRB Payasam Mix Payasam Mix";"35;60";1;"Grb_Payasam_Mix_Payasam_Mix.png";"Dessert";"Food"
129;"Grb Pineapple Soan Papdi";"Grb Pineapple Soan Papdi";"65";1;"Grb_Pineapple_Soan_Papdi.png";"Sweets";"Food"
130;"GRB Rasagolla";"GRB Rasagolla";"115";1;"Grb_Rasagolla.png";"Dairy";"Food"
131;"Haldiram's All In One All";"Haldiram's All In One All";"35";1;"Haldiram_s_All_In_One_All.png";"Snacks";"Food"
132;"Haldiram's Aloo Bhujia";"Haldiram's Aloo Bhujia";"35";1;"Haldiram_s_Aloo_Bhujia.png";"Snacks";"Food"
133;"Haldiram's Bhujia Sev";"Haldiram's Bhujia Sev";"35";1;"Haldiram_s_Bhujia_Sev.png";"Snacks.";"Food"
134;"Haldiram's Boondi";"Haldiram's Boondi";"34";1;"Haldiram_s_Boondi.png";"Snacks";"Food"
135;"Haldiram's Gulab Jamun";"Haldiram's Gulab Jamun";"100";1;"Haldiram_s_Gulab_Jamun.png";"Dessert";"Food"
136;"Haldiram's Khatta Meetha";"Haldiram's Khatta Meetha";"10;30";1;"Haldiram_s_Khatta_Meetha.png";"Snacks.";"Food"
137;"Haldiram's Moong Dal";"Haldiram's Moong Dal";"40";1;"Haldiram_s_Moong_Dal.png";"Pulses";"Food"
138;"Haldiram's Mouth Watering Pateesha Soan Cake";"Haldiram's Mouth Watering Pateesha Soan Cake";"35";1;"Haldiram_s_Mouth_Watering_Pateesha_Soan_Cake.png";"Dessert";"Food"
139;"Haldiram's Navratan Mix";"Haldiram's Navratan Mix";"40";1;"Haldiram_s_Navratan_Mix.png";"Snacks";"Food"
140;"Haldiram's Panjabi Tadka Namkeen";"Haldiram's Panjabi Tadka Namkeen";"30";1;"Haldiram_s_Panjabi_Tadka_Namkeen.png";"Snacks";"Food"
141;"Haldiram's Rasagulla";"Haldiram's Rasagulla";"100";1;"Haldiram_s_Rasagulla.png";"Dessert";"Food"
142;"Haldiram's Salted Peanuts";"Haldiram's Salted Peanuts";"10";1;"Haldiram_s_Salted_Peanuts.png";"Snacks";"Food"
143;"Haldiram's Soan Papdi";"Haldiram's Soan Papdi";"65;30";1;"Haldiram_s_Soan_Papdi.png";"Dessert";"Food"
144;"Haldiram's Soya Sticks";"Haldiram's Soya Sticks";"10";1;"Haldiram_s_Soya_Sticks.png";"Snacks";"Food"
145;"Haldiram's Tasty Nuts";"Haldiram's Tasty Nuts";"10";1;"Haldiram_s_Tasty_Nuts.png";"Snacks";"Food"
146;"Hauser Germany Liquid Ink Fountain Pen";"Hauser Germany Liquid Ink Fountain Pen";"50";1;"Hauser_Germany_Liquid_Ink_Fountain_Pen.png";"Stationary";"Stationary"
147;"Hauser Germany Simply Perfect Oxy Gel Pen";"Hauser Germany Simply Perfect Oxy Gel Pen";"5";1;"Hauser_Germany_Simply_Perfect_Oxy_Gel_Pen.png";"Office supplies";"Personal Care"
148;"Heritage Basmati Rice";"Heritage Basmati Rice";"139";1;"Heritage_Basmati_Rice.png";"Grains";"Food"
149;"Hershey's Chocolate Flavour Milk Shake";"Hershey's Chocolate Flavour Milk Shake";"35";1;"Hershey_s_Chocolate_Flavour_Milk_Shake.png";"Dairy";"Food"
150;"Himalaya Active Sport Face Wash";"Himalaya Active Sport Face Wash";"83";1;"Himalaya_Active_Sport_Face_Wash.png";"Personal care";"Personal Care"
151;"Himalaya Anti Dandruff Conditioner";"Himalaya Anti Dandruff Conditioner";"90";1;"Himalaya_Anti_Dandruff_Conditioner.png";"Haircare";"Personal Care"
152;"Himalaya Anti Dandruff Styling Gel Hair Gel";"Himalaya Anti Dandruff Styling Gel Hair Gel";"48";1;"Himalaya_Anti_Dandruff_Styling_Gel_Hair_Gel.png";"Hair";"Personal Care"
153;"Himalaya Anti Hair Fall Conditioner Conditions";"Himalaya Anti Hair Fall Conditioner Conditions";"90";1;"Himalaya_Anti_Hair_Fall_Conditioner_Conditions.png";"Haircare";"Personal Care"
154;"Himalaya Clear Complexion Whitening Day Cream";"Himalaya Clear Complexion Whitening Day Cream";"235";1;"Himalaya_Clear_Complexion_Whitening_Day_Cream.png";"Cosmetics";"Personal Care"
155;"Himalaya Clear Complexion Whitening Face Wash";"Himalaya Clear Complexion Whitening Face Wash";"140";1;"Himalaya_Clear_Complexion_Whitening_Face_Wash.png";"Skincare";"Personal Care"
156;"Himalaya Cucumber & Coconut Soap Buy 3 Get 1";"Himalaya Cucumber & Coconut Soap Buy 3 Get 1";"87";1;"Himalaya_Cucumber_Coconut_Soap_Buy_3_Get_1.png";"Bath";"Personal Care"
157;"Himalaya Damaged Repair Shampoo";"Himalaya Damaged Repair Shampoo";"68";1;"Himalaya_Damaged_Repair_Shampoo.png";"Cosmetics";"Personal Care"
158;"Himalaya Fresh Start Oil Clear Blueberry Face Wash";"Himalaya Fresh Start Oil Clear Blueberry Face Wash";"75";1;"Himalaya_Fresh_Start_Oil_Clear_Blueberry_Face_Wash.png";"Skincare";"Personal Care"
159;"Himalaya Fresh Start Oil Clear Lemon Face Wash";"Himalaya Fresh Start Oil Clear Lemon Face Wash";"75";1;"Himalaya_Fresh_Start_Oil_Clear_Lemon_Face_Wash.png";"Skincare";"Personal Care"
